market_station_id,pws_station_id,source,station_name,distance_km,row_count,lead_row_count,now_row_count,lead_mae_c,lead_bias_c,lead_hit_rate_0_5_c,lead_hit_rate_1_0_c,lead_avg_minutes,now_mae_c,now_bias_c,now_hit_rate_0_5_c,now_hit_rate_1_0_c,current_weight_predictive,current_weight,current_next_metar_score,current_predictive_score,current_rank_eligible,current_learning_phase,current_now_samples,current_lead_samples,observed_rank_score
EGLC,ILONDO648,WUNDERGROUND,Well Hall,5.1,108,52,56,0.878201923076923,-0.5576865384615385,0.36538461538461536,0.6153846153846154,24.924692307692307,0.8769839285714286,-0.6230125,0.35714285714285715,0.7142857142857143,,,,,False,,,,55.0
EGLC,ILONDO658,WUNDERGROUND,Upton Park,3.6,736,360,376,0.4768427777777778,-0.03857888888888889,0.6416666666666667,0.9333333333333333,24.87682222222222,0.419019414893617,-0.040779521276595745,0.7101063829787234,0.9547872340425532,1.0224,0.9999,84.65,89.04,True,READY,2,1,91.6112
EGLC,ILONDO672,WUNDERGROUND,Woolwich,2.2,727,354,373,0.42717288135593223,-0.016637853107344634,0.6836158192090396,0.96045197740113,25.006093220338983,0.43222037533512064,-0.018769973190348524,0.7024128686327078,0.9463806970509383,1.0224,0.9999,84.65,89.04,True,READY,2,1,94.9191
EGLC,ILONDO727,WUNDERGROUND,Clapham Junction,15.0,139,66,73,0.45621060606060604,0.19359242424242423,0.7272727272727273,0.9090909090909091,24.91810606060606,0.43681506849315066,0.23591095890410957,0.7534246575342466,0.9315068493150684,,,,,False,,,,89.4346
EGLC,ILONDO756,WUNDERGROUND,Streatham,14.5,33,12,21,0.7036833333333333,0.7036833333333333,0.5,0.8333333333333334,20.0,0.6243190476190476,0.6243190476190476,0.5714285714285714,0.9047619047619048,1.0224,0.9999,84.65,89.04,True,READY,2,1,77.2891
EGLC,ILONDO800,WUNDERGROUND,Tottenham,12.0,108,49,59,1.4217795918367346,1.4217795918367346,0.02040816326530612,0.2857142857142857,24.848632653061227,1.2222305084745761,1.2222305084745761,0.0847457627118644,0.3898305084745763,,,,,False,,,,15.5101
EGLC,ILONDO809,WUNDERGROUND,Hither Green,6.9,75,38,37,0.8479447368421053,0.6082026315789474,0.5526315789473685,0.7631578947368421,24.86842105263158,0.8618594594594594,0.6336540540540541,0.4864864864864865,0.8108108108108109,,,,,False,,,,70.1405
EGLC,ILONDO812,WUNDERGROUND,Camberwell,10.8,210,98,112,0.38887448979591843,0.04648469387755101,0.7551020408163265,1.0,24.799500000000002,0.37200714285714287,0.07043392857142856,0.7946428571428571,1.0,1.0224,0.9999,84.65,89.04,True,READY,2,1,99.3335
EGLC,ILONDO842,WUNDERGROUND,Shoreditch,9.1,115,50,65,0.457762,0.319994,0.7,0.98,24.409760000000002,0.4068169230769231,0.31793692307692306,0.8,1.0,1.0224,0.9999,84.65,89.04,True,READY,2,1,96.5069
EGLC,ILONDO846,WUNDERGROUND,Shadwell,7.5,103,40,63,0.5499875000000001,0.4777675,0.575,0.875,25.0797,0.4797047619047619,0.4444349206349207,0.6825396825396826,0.8888888888888888,,,,,False,,,,84.9001
EGLC,ILONDO849,WUNDERGROUND,Kidbrooke,5.2,358,175,183,0.5231582857142857,0.007612000000000001,0.6628571428571428,0.8914285714285715,24.870954285714287,0.5707202185792349,-0.03765136612021858,0.6502732240437158,0.8524590163934426,,,,,False,,,,86.865
